borough,2012,2013,2014,2015,2016,2017,2018,2019
City of London,36,39,34,31,29,29,30,29
Barking and Dagenham,27,25,23,19,25,25,24,25
Barnet,33,36,38,37,37,37,35,32
Bexley,54,55,54,52,53,52,54,54
Brent,43,41,35,36,36,37,37,34
Bromley,49,50,48,46,47,50,50,51
Camden,31,29,26,25,27,30,31,26
Croydon,44,42,40,38,39,38,47,49
Ealing,41,40,40,43,51,49,53,48
Enfield,39,39,39,36,37,36,33,33
Greenwich,40,39,34,35,35,35,33,33
Hackney,24,25,25,25,27,27,28,28
Hammersmith and Fulham,23,21,21,22,23,24,24,26
Haringey,32,36,37,36,36,33,29,30
Harrow,45,49,45,41,40,41,40,39
Havering,35,32,32,32,37,37,37,38
Hillingdon,43,43,44,44,43,40,37,37
Hounslow,35,35,35,34,30,30,31,32
Islington,31,33,33,29,32,29,29,30
Kensington and Chelsea,26,25,25,26,26,26,27,32
Kingston upon Thames,46,46,46,46,47,48,49,27
Lambeth,23,21,28,29,29,30,30,42
Lewisham,20,18,17,18,18,22,28,20
Merton,39,39,38,35,36,37,39,25
Newham,21,18,17,15,14,14,17,44
Redbridge,29,29,29,28,27,24,25,29
Richmond upon Thames,46,43,41,41,42,42,43,49
Southwark,30,34,35,35,34,35,35,35
Sutton,37,37,38,35,37,50,49,49
Tower Hamlets,28,28,28,27,28,26,23,22
Waltham Forest,31,33,36,35,34,32,32,32
Wandsworth,24,20,21,21,22,22,23,24
Westminster,22,21,19,17,17,19,22,20
